data_lancamento,tipo,categoria,subcategoria,descricao,cliente_fornecedor,centro_custo,valor,data_vencimento,data_pagamento,status,conta
2025-04-06,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Atlas,TI,971.06,2025-05-06,2025-05-04,Pago,Conta Corrente
2025-04-07,Receita,Serviços,Projetos,Projeto de análise,Cliente Ômega,Comercial,6731.85,2025-04-27,,Cancelado,Conta Investimento
2025-04-07,Despesa,Comercial,Marketing,Material institucional,Fornecedor Central,Operacional,336.56,2025-04-22,2025-04-22,Pago,Conta Digital
2025-04-08,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Atlas,Financeiro,362.36,2025-05-08,2025-05-03,Pago,Conta Investimento
2025-04-08,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Digital,Comercial,21096.13,2025-05-08,2025-05-06,Pago,Conta Investimento
2025-04-08,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Gama,Consultoria,4954.25,2025-04-13,2025-04-13,Recebido,Conta Corrente
2025-04-09,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Beta,Operacional,10405.71,2025-04-29,2025-04-29,Pago,Conta Digital
2025-04-09,Receita,Serviços,Projetos,Projeto de análise,Cliente Gama,Consultoria,11345.4,2025-05-24,2025-05-23,Recebido,Conta Investimento
2025-04-09,Despesa,Pessoal,Benefícios,Plano de benefícios,Fornecedor Beta,RH,512.07,2025-04-19,2025-04-18,Pago,Conta Digital
2025-04-09,Despesa,Operacional,Energia,Conta de energia,Fornecedor Prime,Comercial,238.28,2025-05-24,2025-05-23,Pago,Conta Corrente
2025-04-09,Despesa,Administrativa,Serviços Terceirizados,Suporte técnico,Fornecedor Beta,TI,2633.56,2025-04-29,2025-04-24,Pago,Conta Investimento
2025-04-09,Despesa,Pessoal,Benefícios,Vale transporte,Fornecedor Digital,Comercial,1613.82,2025-04-24,,Cancelado,Conta Digital
2025-04-09,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Atlas,RH,1587.06,2025-05-09,,Em aberto,Conta Corrente
2025-04-09,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Prime,Comercial,616.66,2025-04-19,,Em aberto,Conta Corrente
2025-04-09,Despesa,Operacional,Aluguel,Aluguel do escritório,Fornecedor Beta,Operacional,3787.7,2025-04-29,2025-04-29,Pago,Conta Digital
2025-04-10,Receita,Serviços,Consultoria,Consultoria empresarial,Cliente Beta,Projetos,11441.65,2025-04-30,,Em aberto,Conta Investimento
2025-04-10,Despesa,Pessoal,Benefícios,Plano de benefícios,Fornecedor Beta,TI,947.0,2025-04-25,2025-04-20,Pago,Conta Corrente
2025-04-10,Despesa,Operacional,Software,Licença de software,Fornecedor Atlas,RH,2564.42,2025-04-20,2025-04-20,Pago,Conta Corrente
2025-04-10,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Alpha,Comercial,7390.68,2025-05-10,2025-05-05,Recebido,Conta Corrente
2025-04-11,Despesa,Comercial,Marketing,Material institucional,Fornecedor Prime,TI,599.67,2025-05-26,2025-05-21,Pago,Conta Digital
2025-04-11,Despesa,Administrativa,Serviços Terceirizados,Suporte técnico,Fornecedor Atlas,RH,1125.59,2025-04-26,2025-04-26,Pago,Conta Digital
2025-04-11,Despesa,Pessoal,Benefícios,Vale transporte,Fornecedor Central,Financeiro,1078.12,2025-04-26,2025-04-25,Pago,Conta Corrente
2025-04-11,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Atlas,Operacional,1858.09,2025-04-26,,Atrasado,Conta Digital
2025-04-13,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Central,RH,22535.65,2025-05-03,2025-04-30,Pago,Conta Digital
2025-04-13,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Prime,Financeiro,556.19,2025-04-28,2025-04-25,Pago,Conta Digital
2025-04-13,Despesa,Pessoal,Benefícios,Vale transporte,Fornecedor Prime,Comercial,834.86,2025-05-28,2025-05-28,Pago,Conta Digital
2025-04-13,Despesa,Impostos,Tributos,Impostos e contribuições,Fornecedor Atlas,Financeiro,5888.05,2025-05-28,,Em aberto,Conta Digital
2025-04-14,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Beta,Financeiro,175.21,2025-04-29,2025-04-28,Pago,Conta Investimento
2025-04-14,Receita,Serviços,Projetos,Projeto de implantação,Cliente Beta,Consultoria,2999.72,2025-04-29,2025-04-26,Recebido,Conta Corrente
2025-04-15,Receita,Serviços,Projetos,Projeto de análise,Cliente Delta,Projetos,8590.01,2025-05-15,2025-05-12,Recebido,Conta Investimento
2025-04-15,Despesa,Operacional,Software,Licença de software,Fornecedor Beta,RH,379.5,2025-04-30,2025-04-30,Pago,Conta Corrente
2025-04-16,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Alpha,Projetos,4448.73,2025-06-15,,Em aberto,Conta Investimento
2025-04-16,Despesa,Pessoal,Benefícios,Vale transporte,Fornecedor Central,Financeiro,678.74,2025-05-01,2025-05-01,Pago,Conta Investimento
2025-04-17,Despesa,Impostos,Tributos,Impostos e contribuições,Fornecedor Atlas,Administrativo,5870.75,2025-05-17,,Em aberto,Conta Digital
2025-04-18,Despesa,Operacional,Software,Sistemas corporativos,Fornecedor Central,Financeiro,1029.67,2025-05-08,2025-05-03,Pago,Conta Digital
2025-04-18,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Beta,Financeiro,1595.73,2025-05-18,2025-05-16,Pago,Conta Investimento
2025-04-19,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Central,TI,2771.04,2025-05-19,2025-05-17,Pago,Conta Investimento
2025-04-22,Despesa,Administrativa,Serviços Terceirizados,Serviços jurídicos,Fornecedor Prime,Financeiro,383.91,2025-05-12,,Atrasado,Conta Investimento
2025-04-22,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Atlas,Operacional,1585.44,2025-05-12,,Em aberto,Conta Corrente
2025-04-22,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Beta,Administrativo,1312.4,2025-05-07,2025-05-05,Pago,Conta Digital
2025-04-23,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Atlas,RH,1456.76,2025-05-08,2025-05-06,Pago,Conta Investimento
2025-04-23,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Digital,Financeiro,1541.26,2025-05-23,,Atrasado,Conta Digital
2025-04-23,Receita,Serviços,Assessoria,Assessoria financeira,Cliente Alpha,Projetos,9099.37,2025-05-03,2025-04-30,Recebido,Conta Corrente
2025-04-23,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Beta,TI,519.27,2025-05-13,2025-05-11,Pago,Conta Digital
2025-04-23,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Atlas,RH,19375.8,2025-04-28,2025-04-28,Pago,Conta Corrente
2025-04-24,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Prime,TI,345.71,2025-05-14,2025-05-14,Pago,Conta Digital
2025-04-24,Despesa,Impostos,Tributos,Impostos e contribuições,Fornecedor Digital,Comercial,4150.67,2025-06-08,2025-06-06,Pago,Conta Investimento
2025-04-25,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Beta,Financeiro,431.66,2025-05-25,,Em aberto,Conta Corrente
2025-04-26,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Prime,Financeiro,576.88,2025-05-11,2025-05-08,Pago,Conta Investimento
2025-04-26,Despesa,Operacional,Energia,Conta de energia,Fornecedor Prime,Operacional,1554.07,2025-05-16,2025-05-16,Pago,Conta Digital
2025-04-26,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Gama,Projetos,3691.85,2025-05-16,2025-05-16,Recebido,Conta Investimento
2025-04-27,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Atlas,Administrativo,1591.1,2025-05-27,2025-05-26,Pago,Conta Investimento
2025-04-27,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Digital,Administrativo,805.24,2025-05-27,2025-05-24,Pago,Conta Corrente
2025-04-28,Receita,Serviços,Consultoria,Consultoria financeira,Cliente Delta,Projetos,1956.17,2025-05-18,,Atrasado,Conta Corrente
2025-04-28,Receita,Serviços,Consultoria,Consultoria empresarial,Cliente Delta,Projetos,13210.99,2025-06-12,2025-06-09,Recebido,Conta Corrente
2025-04-29,Despesa,Administrativa,Serviços Terceirizados,Suporte técnico,Fornecedor Atlas,RH,1038.93,2025-06-13,,Atrasado,Conta Investimento
2025-04-30,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Beta,Comercial,5433.57,2025-05-20,,Cancelado,Conta Corrente
2025-04-30,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Beta,Comercial,1335.17,2025-05-05,2025-05-04,Pago,Conta Corrente
2025-05-01,Despesa,Administrativa,Serviços Terceirizados,Suporte técnico,Fornecedor Beta,RH,1282.06,2025-05-11,,Atrasado,Conta Digital
2025-05-02,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Atlas,RH,451.89,2025-05-17,2025-05-17,Pago,Conta Digital
2025-05-02,Despesa,Pessoal,Benefícios,Vale alimentação,Fornecedor Central,TI,925.27,2025-06-01,2025-05-29,Pago,Conta Investimento
2025-05-02,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Central,RH,1744.99,2025-06-01,,Cancelado,Conta Investimento
2025-05-02,Despesa,Operacional,Energia,Conta de energia,Fornecedor Prime,Operacional,992.21,2025-06-16,2025-06-14,Pago,Conta Digital
2025-05-02,Despesa,Pessoal,Benefícios,Vale transporte,Fornecedor Central,Operacional,1784.68,2025-06-16,2025-06-15,Pago,Conta Investimento
2025-05-03,Despesa,Pessoal,Benefícios,Plano de benefícios,Fornecedor Prime,Administrativo,402.72,2025-05-18,2025-05-16,Pago,Conta Investimento
2025-05-04,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Atlas,TI,561.12,2025-05-24,2025-05-19,Pago,Conta Digital
2025-05-04,Receita,Serviços,Assessoria,Assessoria administrativa,Cliente Gama,Projetos,4761.48,2025-05-19,,Em aberto,Conta Corrente
2025-05-05,Despesa,Impostos,Tributos,Impostos e contribuições,Fornecedor Beta,Comercial,3275.76,2025-06-04,2025-06-02,Pago,Conta Corrente
2025-05-06,Despesa,Pessoal,Benefícios,Vale transporte,Fornecedor Beta,RH,384.03,2025-05-11,,Em aberto,Conta Corrente
2025-05-06,Despesa,Operacional,Energia,Conta de energia,Fornecedor Prime,Financeiro,669.56,2025-05-26,,Em aberto,Conta Corrente
2025-05-06,Despesa,Pessoal,Benefícios,Vale transporte,Fornecedor Beta,Comercial,1610.86,2025-05-26,2025-05-25,Pago,Conta Investimento
2025-05-06,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Beta,Comercial,2485.17,2025-05-26,2025-05-21,Pago,Conta Digital
2025-05-07,Despesa,Pessoal,Benefícios,Plano de benefícios,Fornecedor Atlas,Financeiro,1864.09,2025-07-06,2025-07-01,Pago,Conta Corrente
2025-05-07,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Beta,Administrativo,747.21,2025-06-21,2025-06-19,Pago,Conta Investimento
2025-05-08,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Central,Financeiro,620.62,2025-05-28,2025-05-25,Pago,Conta Digital
2025-05-08,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Atlas,RH,24913.73,2025-05-18,,Em aberto,Conta Digital
2025-05-08,Despesa,Operacional,Aluguel,Aluguel do escritório,Fornecedor Central,TI,4746.74,2025-05-13,2025-05-12,Pago,Conta Digital
2025-05-08,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Beta,Comercial,601.97,2025-05-18,2025-05-18,Pago,Conta Investimento
2025-05-09,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Delta,Comercial,3905.38,2025-05-14,,Atrasado,Conta Investimento
2025-05-09,Receita,Serviços,Consultoria,Consultoria estratégica,Cliente Gama,Consultoria,5818.87,2025-05-24,,Em aberto,Conta Investimento
2025-05-09,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Beta,Financeiro,1388.25,2025-05-14,2025-05-11,Pago,Conta Investimento
2025-05-10,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Beta,Comercial,1265.74,2025-05-20,,Atrasado,Conta Digital
2025-05-10,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Prime,Operacional,2262.59,2025-05-30,,Em aberto,Conta Investimento
2025-05-11,Despesa,Comercial,Marketing,Publicidade digital,Fornecedor Atlas,Administrativo,497.07,2025-06-25,,Em aberto,Conta Digital
2025-05-11,Receita,Serviços,Consultoria,Consultoria empresarial,Cliente Delta,Projetos,4034.33,2025-06-10,2025-06-05,Recebido,Conta Corrente
2025-05-11,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Beta,Consultoria,16521.63,2025-05-26,,Em aberto,Conta Corrente
2025-05-11,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Digital,Administrativo,1485.58,2025-06-10,,Em aberto,Conta Corrente
2025-05-12,Despesa,Operacional,Aluguel,Aluguel do escritório,Fornecedor Prime,Operacional,2517.43,2025-07-11,,Atrasado,Conta Digital
2025-05-13,Despesa,Comercial,Marketing,Publicidade digital,Fornecedor Central,TI,2375.52,2025-05-23,,Atrasado,Conta Investimento
2025-05-13,Receita,Serviços,Consultoria,Consultoria financeira,Cliente Ômega,Projetos,14367.75,2025-06-02,2025-05-31,Recebido,Conta Investimento
2025-05-14,Despesa,Comercial,Marketing,Publicidade digital,Fornecedor Digital,Operacional,984.79,2025-06-03,2025-06-02,Pago,Conta Investimento
2025-05-14,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Beta,RH,1296.18,2025-06-13,,Atrasado,Conta Investimento
2025-05-15,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Prime,Financeiro,1160.81,2025-05-25,,Em aberto,Conta Digital
2025-05-15,Despesa,Operacional,Software,Ferramenta de produtividade,Fornecedor Beta,Comercial,293.44,2025-06-14,2025-06-12,Pago,Conta Investimento
2025-05-15,Despesa,Operacional,Software,Ferramenta de produtividade,Fornecedor Beta,TI,368.21,2025-06-14,,Em aberto,Conta Corrente
2025-05-16,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Prime,Comercial,853.45,2025-06-05,,Cancelado,Conta Corrente
2025-05-16,Receita,Serviços,Projetos,Projeto de melhoria de processos,Cliente Gama,Comercial,24758.63,2025-06-05,2025-05-31,Recebido,Conta Digital
2025-05-16,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Prime,Operacional,594.11,2025-06-05,2025-06-02,Pago,Conta Investimento
2025-05-17,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Prime,Comercial,972.64,2025-07-16,,Em aberto,Conta Corrente
2025-05-19,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Beta,Projetos,8762.45,2025-06-18,2025-06-16,Recebido,Conta Corrente
2025-05-20,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Gama,Projetos,1600.01,2025-05-25,2025-05-20,Recebido,Conta Investimento
2025-05-21,Receita,Serviços,Consultoria,Consultoria empresarial,Cliente Alpha,Comercial,5960.99,2025-06-05,2025-06-02,Recebido,Conta Corrente
2025-05-21,Receita,Serviços,Consultoria,Consultoria estratégica,Cliente Alpha,Consultoria,13046.98,2025-05-31,2025-05-28,Recebido,Conta Corrente
2025-05-22,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Atlas,Financeiro,1951.84,2025-06-21,,Em aberto,Conta Digital
2025-05-23,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Beta,Projetos,3701.64,2025-06-22,,Em aberto,Conta Investimento
2025-05-23,Receita,Serviços,Consultoria,Consultoria empresarial,Cliente Alpha,Comercial,7644.67,2025-07-07,2025-07-07,Recebido,Conta Digital
2025-05-23,Despesa,Impostos,Tributos,Tributos sobre faturamento,Fornecedor Beta,RH,2550.33,2025-05-28,2025-05-28,Pago,Conta Corrente
2025-05-24,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Prime,Comercial,2157.16,2025-06-13,2025-06-11,Pago,Conta Digital
2025-05-24,Receita,Serviços,Assessoria,Assessoria administrativa,Cliente Delta,Projetos,8189.34,2025-06-08,,Em aberto,Conta Corrente
2025-05-24,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Prime,TI,1221.19,2025-06-23,,Atrasado,Conta Corrente
2025-05-24,Receita,Serviços,Consultoria,Consultoria estratégica,Cliente Gama,Consultoria,5054.04,2025-05-29,,Em aberto,Conta Digital
2025-05-24,Despesa,Comercial,Marketing,Publicidade digital,Fornecedor Prime,RH,280.67,2025-06-13,,Atrasado,Conta Investimento
2025-05-24,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Delta,Consultoria,2891.37,2025-06-08,2025-06-05,Recebido,Conta Digital
2025-05-24,Despesa,Operacional,Energia,Conta de energia,Fornecedor Digital,Administrativo,3465.94,2025-06-23,2025-06-21,Pago,Conta Digital
2025-05-25,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Digital,RH,339.08,2025-07-24,2025-07-24,Pago,Conta Investimento
2025-05-25,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Atlas,Administrativo,1276.35,2025-06-09,,Em aberto,Conta Investimento
2025-05-25,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Beta,RH,189.73,2025-06-04,2025-06-02,Pago,Conta Investimento
2025-05-25,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Central,Comercial,8884.67,2025-06-04,,Em aberto,Conta Digital
2025-05-26,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Gama,Projetos,9629.65,2025-06-15,2025-06-10,Recebido,Conta Corrente
2025-05-26,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Prime,Operacional,919.01,2025-06-15,2025-06-12,Pago,Conta Investimento
2025-05-27,Receita,Serviços,Projetos,Projeto de implantação,Cliente Beta,Consultoria,3821.18,2025-06-01,2025-05-29,Recebido,Conta Investimento
2025-05-27,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Alpha,Consultoria,5331.75,2025-06-26,2025-06-21,Recebido,Conta Digital
2025-05-27,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Prime,Comercial,14069.72,2025-06-06,,Em aberto,Conta Investimento
2025-05-27,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Gama,Projetos,3966.94,2025-06-16,,Cancelado,Conta Digital
2025-05-27,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Alpha,Projetos,4731.74,2025-07-11,2025-07-11,Recebido,Conta Corrente
2025-05-27,Receita,Serviços,Assessoria,Assessoria financeira,Cliente Gama,Projetos,2087.48,2025-06-26,2025-06-24,Recebido,Conta Corrente
2025-05-28,Receita,Serviços,Assessoria,Assessoria financeira,Cliente Delta,Projetos,5980.92,2025-06-27,2025-06-25,Recebido,Conta Investimento
2025-05-28,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Gama,Consultoria,5845.33,2025-06-07,2025-06-06,Recebido,Conta Investimento
2025-05-28,Despesa,Comercial,Marketing,Publicidade digital,Fornecedor Prime,TI,900.06,2025-06-12,,Atrasado,Conta Corrente
2025-05-29,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Beta,Projetos,5368.98,2025-06-08,,Em aberto,Conta Corrente
2025-05-30,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Central,Administrativo,401.77,2025-06-04,,Em aberto,Conta Corrente
2025-05-30,Despesa,Administrativa,Serviços Terceirizados,Suporte técnico,Fornecedor Atlas,Comercial,417.8,2025-06-29,2025-06-24,Pago,Conta Corrente
2025-05-31,Despesa,Impostos,Tributos,Impostos e contribuições,Fornecedor Digital,Operacional,6445.71,2025-06-15,2025-06-10,Pago,Conta Digital
2025-05-31,Despesa,Operacional,Software,Sistemas corporativos,Fornecedor Central,RH,949.15,2025-06-15,2025-06-13,Pago,Conta Digital
2025-05-31,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Prime,Comercial,681.76,2025-06-30,2025-06-29,Pago,Conta Digital
2025-05-31,Receita,Serviços,Consultoria,Consultoria estratégica,Cliente Delta,Consultoria,5735.45,2025-06-05,2025-06-02,Recebido,Conta Digital
2025-06-01,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Ômega,Projetos,3163.29,2025-06-11,2025-06-10,Recebido,Conta Investimento
2025-06-01,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Beta,TI,1292.63,2025-07-01,,Atrasado,Conta Investimento
2025-06-01,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Prime,Comercial,2040.54,2025-06-11,,Atrasado,Conta Digital
2025-06-01,Despesa,Comercial,Marketing,Publicidade digital,Fornecedor Atlas,Financeiro,686.1,2025-06-21,2025-06-20,Pago,Conta Corrente
2025-06-01,Despesa,Comercial,Marketing,Publicidade digital,Fornecedor Atlas,Comercial,1142.32,2025-06-11,2025-06-08,Pago,Conta Digital
2025-06-02,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Digital,Comercial,1056.47,2025-07-17,,Em aberto,Conta Corrente
2025-06-02,Receita,Serviços,Projetos,Projeto de implantação,Cliente Alpha,Projetos,7268.12,2025-06-22,,Em aberto,Conta Corrente
2025-06-03,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Central,Comercial,1919.43,2025-07-03,,Em aberto,Conta Digital
2025-06-03,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Central,Financeiro,1772.36,2025-06-18,,Em aberto,Conta Digital
2025-06-04,Despesa,Operacional,Aluguel,Aluguel do escritório,Fornecedor Beta,Financeiro,7846.34,2025-07-04,2025-07-04,Pago,Conta Corrente
2025-06-05,Receita,Serviços,Projetos,Projeto de implantação,Cliente Alpha,Projetos,5082.86,2025-06-15,2025-06-13,Recebido,Conta Investimento
2025-06-06,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Alpha,Consultoria,3445.81,2025-06-16,,Atrasado,Conta Digital
2025-06-07,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Central,RH,574.85,2025-06-27,2025-06-26,Pago,Conta Investimento
2025-06-07,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Delta,Projetos,11414.79,2025-06-27,,Em aberto,Conta Digital
2025-06-07,Despesa,Operacional,Software,Licença de software,Fornecedor Atlas,RH,871.78,2025-06-22,2025-06-17,Pago,Conta Digital
2025-06-09,Receita,Serviços,Assessoria,Assessoria financeira,Cliente Alpha,Consultoria,10162.65,2025-08-08,2025-08-03,Recebido,Conta Investimento
2025-06-09,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Ômega,Comercial,7217.87,2025-06-29,,Em aberto,Conta Digital
2025-06-09,Receita,Serviços,Projetos,Projeto de análise,Cliente Alpha,Projetos,8489.05,2025-06-19,,Atrasado,Conta Digital
2025-06-09,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Alpha,Projetos,4914.73,2025-07-09,2025-07-08,Recebido,Conta Investimento
2025-06-09,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Digital,Administrativo,181.58,2025-06-24,2025-06-21,Pago,Conta Corrente
2025-06-09,Despesa,Impostos,Tributos,Tributos sobre faturamento,Fornecedor Beta,TI,8217.32,2025-07-09,,Em aberto,Conta Digital
2025-06-10,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Ômega,Consultoria,18800.22,2025-08-09,,Em aberto,Conta Investimento
2025-06-10,Receita,Serviços,Consultoria,Consultoria empresarial,Cliente Ômega,Projetos,11980.19,2025-07-10,2025-07-05,Recebido,Conta Investimento
2025-06-10,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Beta,RH,544.89,2025-06-30,2025-06-28,Pago,Conta Investimento
2025-06-10,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Prime,Financeiro,959.17,2025-08-09,2025-08-09,Pago,Conta Investimento
2025-06-11,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Beta,Financeiro,951.15,2025-06-26,2025-06-25,Pago,Conta Digital
2025-06-11,Despesa,Pessoal,Benefícios,Vale transporte,Fornecedor Beta,Comercial,590.47,2025-06-21,2025-06-18,Pago,Conta Corrente
2025-06-12,Despesa,Operacional,Software,Licença de software,Fornecedor Prime,TI,2029.15,2025-07-27,,Cancelado,Conta Investimento
2025-06-12,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Digital,Operacional,202.64,2025-06-17,2025-06-17,Pago,Conta Corrente
2025-06-12,Despesa,Impostos,Tributos,Impostos e contribuições,Fornecedor Beta,RH,7952.64,2025-07-27,2025-07-27,Pago,Conta Corrente
2025-06-12,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Beta,RH,2406.32,2025-07-02,2025-07-02,Pago,Conta Investimento
2025-06-13,Despesa,Pessoal,Benefícios,Plano de benefícios,Fornecedor Beta,Financeiro,455.54,2025-06-18,2025-06-18,Pago,Conta Corrente
2025-06-13,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Beta,Projetos,6301.55,2025-06-28,,Atrasado,Conta Corrente
2025-06-13,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Beta,Operacional,304.44,2025-07-13,2025-07-08,Pago,Conta Corrente
2025-06-14,Receita,Serviços,Consultoria,Consultoria estratégica,Cliente Delta,Consultoria,2096.16,2025-07-04,2025-07-02,Recebido,Conta Corrente
2025-06-14,Despesa,Operacional,Energia,Conta de energia,Fornecedor Prime,Comercial,408.61,2025-07-14,2025-07-13,Pago,Conta Investimento
2025-06-14,Receita,Serviços,Consultoria,Consultoria financeira,Cliente Delta,Comercial,15160.86,2025-07-04,,Atrasado,Conta Corrente
2025-06-15,Receita,Serviços,Assessoria,Assessoria financeira,Cliente Gama,Consultoria,16242.01,2025-06-25,,Em aberto,Conta Investimento
2025-06-16,Receita,Serviços,Projetos,Projeto de implantação,Cliente Alpha,Projetos,6249.26,2025-06-26,2025-06-23,Recebido,Conta Corrente
2025-06-16,Despesa,Pessoal,Benefícios,Vale transporte,Fornecedor Digital,TI,832.99,2025-08-15,,Cancelado,Conta Investimento
2025-06-17,Despesa,Pessoal,Benefícios,Vale transporte,Fornecedor Prime,Financeiro,2588.97,2025-08-01,2025-07-29,Pago,Conta Corrente
2025-06-17,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Beta,Comercial,3266.82,2025-08-01,2025-07-29,Recebido,Conta Digital
2025-06-18,Receita,Serviços,Assessoria,Assessoria administrativa,Cliente Beta,Consultoria,3836.21,2025-07-18,2025-07-16,Recebido,Conta Investimento
2025-06-19,Receita,Serviços,Assessoria,Assessoria administrativa,Cliente Beta,Projetos,12261.35,2025-07-04,,Em aberto,Conta Digital
2025-06-19,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Digital,Administrativo,23787.63,2025-08-03,2025-08-01,Pago,Conta Digital
2025-06-19,Despesa,Operacional,Energia,Conta de energia,Fornecedor Atlas,RH,526.86,2025-07-09,,Cancelado,Conta Investimento
2025-06-19,Despesa,Pessoal,Benefícios,Plano de benefícios,Fornecedor Central,Comercial,554.7,2025-06-24,2025-06-19,Pago,Conta Investimento
2025-06-19,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Atlas,TI,156.61,2025-08-03,,Cancelado,Conta Corrente
